file,Playing bitrate _audio,Playing bitrate _video,Playing/Buffering vmaf,Buffering bitrate _audio,Buffering bitrate _video,Buffer size in Bytes _audio,Buffer size in Bytes _video,Buffer size in Bytes,Buffer size in Seconds _audio,Buffer size in Seconds _video,Framerate,Current Dropped Frames,Total Frames,Total Dropped Frames,Total Corrupted Frames,Total Frame Delay,Throughput
./Netflix_Screen_Capture\2021-03-21_15-28-42.806.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 584234064, 590502648,243.500 , 230.429, 23.976, 0, 10177, 1, 0, 411, 27052 kbps
./Netflix_Screen_Capture\2021-03-21_15-28-52.794.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 587694567, 593963151,249.043 , 228.522, 23.976, 0, 10418, 1, 0, 411, 25002 kbps
./Netflix_Screen_Capture\2021-03-21_15-29-02.789.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 581375199, 587643783,255.022 , 227.019, 23.976, 0, 10665, 1, 0, 411, 22761 kbps
./Netflix_Screen_Capture\2021-03-21_15-29-12.806.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 586373497, 592642081,244.742 , 225.248, 23.976, 0, 10911, 1, 0, 411, 23877 kbps
./Netflix_Screen_Capture\2021-03-21_15-29-22.782.jpeg,3840,2160, 100/100,192 , 17857,5877188 , 595125080, 601002268,234.552 , 223.566, 23.976, 0, 11154, 1, 0, 411, 23921 kbps
./Netflix_Screen_Capture\2021-03-21_15-29-32.797.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 587702119, 593970703,241.444 , 223.008, 23.976, 0, 11373, 1, 0, 411, 26192 kbps
./Netflix_Screen_Capture\2021-03-21_15-29-42.805.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 608160986, 614429570,247.300 , 232.394, 23.976, 0, 11615, 1, 0, 411,
./Netflix_Screen_Capture\2021-03-21_15-29-52.782.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 620655619, 626924203,253.122 , 236.647, 23.976, 0, 11861, 1, 0, 411, 23917 kbps
./Netflix_Screen_Capture\2021-03-21_15-30-02.833.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 605699066, 611967650,242.909 , 231.647, 23.976, 0, 12107, 1, 0, 411,
./Netflix_Screen_Capture\2021-03-21_15-30-12.826.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 610054090, 616322674,248.772 , 234.408, 23.976, 0, 12352, 1, 0, 413, 24122 kbps
